Branch,Customer_type,Gender,Product_line,Unit_price,Quantity,Total,Date
B,Member,Female,Home and lifestyle,40.73,7,299.3655,2021-06-12
A,Normal,Male,Fashion accessories,52.38,1,54.999,2021-06-13
A,Member,Male,Fashion accessories,38.54,5,202.335,2021-06-14
B,Normal,Male,Sports and travel,44.63,6,281.169,2021-06-15
C,Normal,Male,Electronic accessories,55.87,10,586.635,2021-06-16
C,Member,Female,Sports and travel,29.22,6,184.086,2021-06-17
A,Normal,Male,Fashion accessories,51.94,3,163.611,2021-06-18
B,Normal,Male,Electronic accessories,60.3,1,63.315,2021-06-19
A,Member,Female,Sports and travel,39.47,2,82.887,2021-06-20
C,Member,Female,Food and beverages,14.87,2,31.227,2021-06-21
A,Normal,Male,Fashion accessories,21.32,1,22.386,2021-06-22
A,Member,Male,Electronic accessories,93.78,3,295.407,2021-06-23
A,Member,Male,Electronic accessories,73.26,1,76.923,2021-06-24
C,Normal,Female,Sports and travel,22.38,1,23.499,2021-06-25
C,Member,Female,Food and beverages,72.88,9,688.716,2021-06-26
A,Normal,Female,Fashion accessories,99.1,6,624.33,2021-06-27
A,Normal,Male,Fashion accessories,74.1,1,77.805,2021-06-28
A,Normal,Female,Fashion accessories,98.48,2,206.808,2021-06-29
C,Normal,Male,Health and beauty,53.19,7,390.9465,2021-06-30
B,Normal,Female,Electronic accessories,52.79,10,554.295,2021-07-01
A,Member,Female,Health and beauty,95.95,5,503.7375,2021-07-02
B,Normal,Female,Fashion accessories,36.51,9,345.0195,2021-07-03
B,Normal,Male,Food and beverages,21.12,8,177.408,2021-07-04
A,Member,Female,Home and lifestyle,28.31,4,118.902,2021-07-05
B,Normal,Male,Health and beauty,57.59,6,362.817,2021-07-06
A,Member,Female,Food and beverages,47.63,9,450.1035,2021-07-07
C,Member,Female,Home and lifestyle,86.27,1,90.5835,2021-07-08
A,Member,Male,Sports and travel,12.76,2,26.796,2021-07-09
B,Normal,Female,Home and lifestyle,11.28,9,106.596,2021-07-10
B,Normal,Female,Home and lifestyle,51.07,7,375.3645,2021-07-11
A,Member,Female,Electronic accessories,79.59,3,250.7085,2021-07-12
C,Member,Male,Health and beauty,33.81,3,106.5015,2021-07-13
B,Member,Male,Sports and travel,90.53,8,760.452,2021-07-14
C,Member,Female,Health and beauty,62.82,2,131.922,2021-07-15
C,Member,Male,Food and beverages,24.31,3,76.5765,2021-07-16
A,Normal,Male,Sports and travel,64.59,4,271.278,2021-07-17
A,Member,Male,Food and beverages,24.82,7,182.427,2021-07-18
C,Normal,Male,Fashion accessories,56.5,1,59.325,2021-07-19
B,Member,Female,Electronic accessories,21.43,10,225.015,2021-07-20
A,Member,Male,Sports and travel,89.06,6,561.078,2021-07-21
A,Member,Male,Home and lifestyle,23.29,4,97.818,2021-07-22
C,Normal,Male,Home and lifestyle,65.26,8,548.184,2021-07-23
C,Member,Male,Fashion accessories,52.35,1,54.9675,2021-07-24
B,Member,Male,Electronic accessories,39.75,1,41.7375,2021-07-25
A,Normal,Female,Electronic accessories,90.02,8,756.168,2021-07-26
B,Member,Female,Electronic accessories,12.1,8,101.64,2021-07-27
B,Member,Female,Food and beverages,33.21,10,348.705,2021-07-28
C,Member,Female,Fashion accessories,10.18,8,85.512,2021-07-29
B,Member,Male,Sports and travel,31.99,10,335.895,2021-07-30
A,Member,Female,Home and lifestyle,34.42,6,216.846,2021-07-31
A,Member,Female,Food and beverages,83.34,2,175.014,2021-08-01
A,Normal,Male,Sports and travel,45.58,7,335.013,2021-08-02
A,Member,Male,Food and beverages,87.9,1,92.295,2021-08-03
A,Member,Female,Electronic accessories,73.47,10,771.435,2021-08-04
C,Normal,Female,Fashion accessories,12.19,8,102.396,2021-08-05
A,Member,Male,Sports and travel,76.92,10,807.66,2021-08-06
C,Normal,Female,Health and beauty,83.66,5,439.215,2021-08-07
B,Normal,Female,Electronic accessories,57.91,8,486.444,2021-08-08
C,Member,Female,Fashion accessories,92.49,5,485.5725,2021-08-09
B,Normal,Male,Electronic accessories,28.38,5,148.995,2021-08-10
B,Member,Male,Electronic accessories,50.45,6,317.835,2021-08-11
B,Normal,Male,Health and beauty,99.16,8,832.944,2021-08-12
C,Normal,Male,Fashion accessories,60.74,7,446.439,2021-08-13
C,Member,Female,Food and beverages,47.27,6,297.801,2021-08-14
C,Member,Male,Health and beauty,85.6,7,629.16,2021-08-15
A,Member,Male,Food and beverages,35.04,9,331.128,2021-08-16
C,Member,Female,Electronic accessories,44.84,9,423.738,2021-08-17
B,Normal,Male,Home and lifestyle,45.97,4,193.074,2021-08-18
A,Member,Female,Health and beauty,27.73,5,145.5825,2021-08-19
A,Normal,Male,Food and beverages,11.53,7,84.7455,2021-08-20
C,Normal,Female,Health and beauty,58.32,2,122.472,2021-08-21
C,Member,Female,Home and lifestyle,78.38,4,329.196,2021-08-22
C,Normal,Male,Health and beauty,84.61,10,888.405,2021-08-23
B,Normal,Female,Health and beauty,82.88,5,435.12,2021-08-24
A,Member,Female,Food and beverages,79.54,2,167.034,2021-08-25
B,Normal,Female,Home and lifestyle,49.01,10,514.605,2021-08-26
B,Member,Female,Food and beverages,29.15,3,91.8225,2021-08-27
C,Normal,Female,Electronic accessories,56.13,4,235.746,2021-08-28
A,Normal,Female,Home and lifestyle,93.12,8,782.208,2021-08-29
A,Member,Male,Fashion accessories,51.34,8,431.256,2021-08-30
A,Member,Female,Food and beverages,99.6,3,313.74,2021-08-31
C,Normal,Female,Electronic accessories,35.49,6,223.587,2021-09-01
C,Member,Male,Sports and travel,42.85,1,44.9925,2021-09-02
A,Normal,Female,Fashion accessories,94.67,4,397.614,2021-09-03
B,Normal,Male,Home and lifestyle,68.97,3,217.2555,2021-09-04
B,Member,Female,Electronic accessories,26.26,3,82.719,2021-09-05
C,Member,Female,Home and lifestyle,35.79,9,338.2155,2021-09-06
B,Normal,Female,Home and lifestyle,16.37,6,103.131,2021-09-07
C,Member,Female,Home and lifestyle,12.73,2,26.733,2021-09-08
C,Normal,Female,Sports and travel,83.14,7,611.079,2021-09-09
C,Member,Female,Sports and travel,35.22,6,221.886,2021-09-10
B,Normal,Female,Electronic accessories,13.78,4,57.876,2021-09-11
B,Member,Male,Sports and travel,88.31,1,92.7255,2021-09-12
A,Member,Female,Health and beauty,39.62,9,374.409,2021-09-13
B,Normal,Female,Electronic accessories,88.25,9,833.9625,2021-09-14
B,Normal,Male,Sports and travel,25.31,2,53.151,2021-09-15
B,Normal,Male,Home and lifestyle,99.92,6,629.496,2021-09-16
C,Member,Female,Fashion accessories,83.35,2,175.035,2021-09-17
A,Normal,Female,Food and beverages,74.44,10,781.62,2021-09-18
C,Normal,Male,Health and beauty,64.08,7,470.988,2021-09-19
B,Normal,Female,Home and lifestyle,63.15,6,397.845,2021-09-20
C,Member,Male,Home and lifestyle,85.72,3,270.018,2021-09-21
C,Normal,Female,Health and beauty,78.89,7,579.8415,2021-09-22
A,Normal,Female,Sports and travel,89.48,5,469.77,2021-09-23
A,Member,Female,Health and beauty,92.09,3,290.0835,2021-09-24
C,Normal,Female,Food and beverages,57.29,6,360.927,2021-09-25
A,Normal,Male,Food and beverages,66.52,4,279.384,2021-09-26
C,Member,Male,Fashion accessories,99.82,9,943.299,2021-09-27
A,Normal,Female,Home and lifestyle,45.68,10,479.64,2021-09-28
A,Normal,Male,Health and beauty,50.79,5,266.6475,2021-09-29
A,Member,Male,Health and beauty,10.08,7,74.088,2021-09-30
A,Normal,Female,Electronic accessories,93.88,7,690.018,2021-10-01
C,Member,Male,Electronic accessories,84.25,2,176.925,2021-10-02
B,Member,Male,Fashion accessories,53.78,1,56.469,2021-10-03
C,Member,Male,Home and lifestyle,35.81,5,188.0025,2021-10-04
B,Normal,Female,Food and beverages,26.43,8,222.012,2021-10-05
B,Member,Male,Health and beauty,39.91,3,125.7165,2021-10-06
B,Member,Female,Home and lifestyle,21.9,3,68.985,2021-10-07
B,Member,Female,Food and beverages,62.85,4,263.97,2021-10-08
C,Member,Female,Food and beverages,21.04,4,88.368,2021-10-09
B,Member,Male,Home and lifestyle,65.91,6,415.233,2021-10-10
A,Normal,Female,Fashion accessories,42.57,7,312.8895,2021-10-11
C,Member,Male,Food and beverages,50.49,9,477.1305,2021-10-12
B,Normal,Male,Electronic accessories,46.02,6,289.926,2021-10-13
C,Normal,Female,Home and lifestyle,15.8,10,165.9,2021-10-14
A,Member,Female,Food and beverages,98.66,9,932.337,2021-10-15
C,Member,Male,Fashion accessories,91.98,1,96.579,2021-10-16
A,Member,Male,Electronic accessories,20.89,2,43.869,2021-10-17
A,Normal,Female,Fashion accessories,15.5,1,16.275,2021-10-18
C,Member,Male,Electronic accessories,96.82,3,304.983,2021-10-19
B,Normal,Male,Food and beverages,33.33,2,69.993,2021-10-20
B,Normal,Female,Electronic accessories,38.27,2,80.367,2021-10-21
A,Normal,Female,Home and lifestyle,33.3,9,314.685,2021-10-22
A,Member,Male,Home and lifestyle,81.01,3,255.1815,2021-10-23
A,Normal,Female,Health and beauty,15.8,3,49.77,2021-10-24
B,Member,Female,Electronic accessories,34.49,5,181.0725,2021-10-25
B,Member,Female,Food and beverages,84.63,10,888.615,2021-10-26
B,Member,Male,Home and lifestyle,36.91,7,271.2885,2021-10-27
B,Normal,Male,Electronic accessories,87.08,7,640.038,2021-10-28
A,Normal,Male,Home and lifestyle,80.08,3,252.252,2021-10-29
C,Normal,Male,Fashion accessories,86.13,2,180.873,2021-10-30
B,Member,Male,Fashion accessories,49.92,2,104.832,2021-10-31
A,Normal,Female,Food and beverages,74.66,4,313.572,2021-11-01
B,Member,Male,Food and beverages,26.6,6,167.58,2021-11-02
B,Normal,Female,Electronic accessories,25.45,1,26.7225,2021-11-03
B,Normal,Female,Food and beverages,67.77,1,71.1585,2021-11-04
C,Member,Male,Food and beverages,59.59,4,250.278,2021-11-05
A,Normal,Male,Health and beauty,58.15,4,244.23,2021-11-06
A,Member,Female,Sports and travel,97.48,9,921.186,2021-11-07
C,Normal,Male,Health and beauty,99.96,7,734.706,2021-11-08
C,Normal,Male,Electronic accessories,96.37,7,708.3195,2021-11-09
B,Normal,Female,Fashion accessories,63.71,5,334.4775,2021-11-10
B,Normal,Female,Health and beauty,14.76,2,30.996,2021-11-11
B,Member,Male,Health and beauty,62,8,520.8,2021-11-12
C,Member,Male,Electronic accessories,82.34,10,864.57,2021-11-13
B,Member,Male,Health and beauty,75.37,8,633.108,2021-11-14
A,Normal,Female,Food and beverages,56.56,5,296.94,2021-11-15
B,Normal,Female,Sports and travel,76.6,10,804.3,2021-11-16
A,Normal,Male,Electronic accessories,58.03,2,121.863,2021-11-17
B,Normal,Male,Fashion accessories,17.49,10,183.645,2021-11-18
C,Member,Female,Electronic accessories,60.95,1,63.9975,2021-11-19
C,Normal,Male,Health and beauty,40.35,1,42.3675,2021-11-20
B,Normal,Female,Home and lifestyle,97.38,10,1022.49,2021-11-21
A,Member,Male,Food and beverages,31.84,1,33.432,2021-11-22
A,Normal,Male,Home and lifestyle,65.82,1,69.111,2021-11-23
A,Member,Female,Fashion accessories,88.34,7,649.299,2021-11-24
